Darījumu skaits atlasē,Darījuma ID,Objekts,Īpašuma kadastra numurs,Adreses pieraksts,Novads,Pilsēta,Pagasts,Darījuma datums,"Darījuma summa, EUR",Zemes vienību kadastra apzīmējumi(saraksts) (viena darījuma ietvaros) ,Zemes daļas(skaitītājs),Zemes daļas(saucējs),"Pārdotā zemes kopplatība, m2 ",NĪLM grupas kods (lielākais pēc platības),NĪLM kodi(saraksts),Būvju skaits ,Būves kadastra apzīmējums,Būves daļas(skaitītājs),Būves daļas(saucējs),Būves lietošanas veida nosaukums,Būves lietošanas veida kods,Būves virszemes stāvu skaits,"Būves apbūves laukums, m2","Būves kopplatība, m2","Būves būvtilpums, m3",Būves ārsienu materiāla nosaukums,Būves ekspluatācijas uzsākšanas gads,"Būves fiziskais nolietojums, %",Būves kadastra apzīmējumu saraksts (viena darījuma ietvaros),Telpu grupu skaits (viena darījuma ietvaros),Dzīvokļu skaits (viena darījuma ietvaros),Telpu grupas kadastra apzīmējums,Telpu grupas daļas(skaitītājs),Telpu grupas daļas(saucējs),Telpu grupas lietošanas veida kods,Telpu grupas zemākais stāvs,Telpu grupas augstākais stāvs,"Telpu grupas platība, m2","Dzīvokļa kopplatība, m2",Telpu skaits telpu grupā,Istabu skaits dzīvoklī
24464,1145040,Dz,01009268475,"Aleksandra Čaka iela 123 - 5, Rīga, LV-1011",NULL,Rīga,NULL,6/16/2023,167295,01000330015,587,12344,98.44, 07,"703(1735), 801(335)",1,01000330015001,587,12344,Triju vai vairāku dzīvokļu mājas,1122,6,335.9,1414.4,5706,"2307 - Monolītais dzelzsbetons, 2907 - Māla ķieģeļi","1935, 2022",32,01000330015001,0,1,01000330015001005,1,1,1122,3,3,58.7,58.7,4,3
2211,1173984,T,01009268459,"Aleksandra Čaka iela 123, Rīga, LV-1011",NULL,Rīga,NULL,12/14/2023,260000,01000330015,1081,12344,181.28, 07,"703(1735), 801(335)",1,01000330015001,1081,12344,Triju vai vairāku dzīvokļu mājas,1122,6,335.9,1414.4,5706,"2307 - Monolītais dzelzsbetons, 2907 - Māla ķieģeļi","1935, 2022",32,01000330015001,1,0,01000330015001018,1,1,1230,1,1,108.1,0,4,0
24464,1162928,Dz,01009113839,"Aleksandra Čaka iela 132 - 47, Rīga, LV-1012",NULL,Rīga,NULL,10/18/2023,49500,01000350073,451,24566,23.06, 07,"702(1193), 801(43), 1001(20)",1,01000350073001,451,24566,Triju vai vairāku dzīvokļu mājas,1122,5,714.6,3240.7,13382,2907 - Māla ķieģeļi,1910,60,01000350073001,0,1,01000350073001047,1,1,1122,5,5,45.1,45.1,6,2
24464,1139865,Dz,01009254349,"Aleksandra Čaka iela 134 - 55, Rīga, LV-1012",NULL,Rīga,NULL,5/11/2023,215000,01000350074,488,34457,21.73, 07,"703(1464), 801(70)",1,01000350074011,488,34457,Triju vai vairāku dzīvokļu mājas,1122,7,974.1,7516.9,28856,"2307 - Monolītais dzelzsbetons, 2802 - Gāzbetona bloki","2008, 2018",0,01000350074011,0,1,01000350074011055,1,1,1122,2,2,97.6,89,8,4
24464,1148363,Dz,01009254369,"Aleksandra Čaka iela 134 - 61, Rīga, LV-1012",NULL,Rīga,NULL,6/20/2023,173000,01000350074,771,68914,17.16, 07,"703(1464), 801(70)",1,01000350074011,771,68914,Triju vai vairāku dzīvokļu mājas,1122,7,974.1,7516.9,28856,"2307 - Monolītais dzelzsbetons, 2802 - Gāzbetona bloki","2008, 2018",0,01000350074011,0,1,01000350074011061,1,1,1122,4,4,77.1,63.3,6,3
24464,1148364,Dz,01009254370,"Aleksandra Čaka iela 134 - 62, Rīga, LV-1012",NULL,Rīga,NULL,6/20/2023,110000,01000350074,302,34457,13.44, 07,"703(1464), 801(70)",1,01000350074011,302,34457,Triju vai vairāku dzīvokļu mājas,1122,7,974.1,7516.9,28856,"2307 - Monolītais dzelzsbetons, 2802 - Gāzbetona bloki","2008, 2018",0,01000350074011,0,1,01000350074011062,1,1,1122,4,4,59.4,47.6,7,2
24464,1139866,T,01009254348,"Aleksandra Čaka iela 134 - 72, Rīga, LV-1012",NULL,Rīga,NULL,5/11/2023,13000,01000350074,11603,2963302,6.01, 07,"703(1464), 801(70)",1,01000350074011,11603,2963302,Triju vai vairāku dzīvokļu mājas,1122,7,974.1,7516.9,28856,"2307 - Monolītais dzelzsbetons, 2802 - Gāzbetona bloki","2008, 2018",0,01000350074011,1,0,01000350074011072,1,43,1242,-1,-1,1160.3,0,2,0
24464,1147985,T,01009254348,"Aleksandra Čaka iela 134 - 72, Rīga, LV-1012",NULL,Rīga,NULL,6/20/2023,15000,01000350074,11603,2963302,6.01, 07,"703(1464), 801(70)",1,01000350074011,11603,2963302,Triju vai vairāku dzīvokļu mājas,1122,7,974.1,7516.9,28856,"2307 - Monolītais dzelzsbetons, 2802 - Gāzbetona bloki","2008, 2018",0,01000350074011,1,0,01000350074011072,1,43,1242,-1,-1,1160.3,0,2,0
24464,1146953,Dz,01009132215,"Aleksandra Čaka iela 135 - 7, Rīga, LV-1012",NULL,Rīga,NULL,7/6/2023,42900,NULL,NULL,NULL,NULL,NULL,NULL,1,01000350021057,395,32013,Triju vai vairāku dzīvokļu mājas,1122,6,879.4,3994.3,15241,2914 - Cits neklasificēts materiāls,1986,10,01000350021057,0,1,01000350021057007,1,1,1122,3,3,39.5,31.1,6,1
24464,1155126,T,01009267236,"Aleksandra Čaka iela 136 - 1B, Rīga, LV-1012",NULL,Rīga,NULL,8/22/2023,126300,01000350075,3590,30279,111.21, 07,"601(45), 703(759), 801(134)",3,01000350075001,3590,30279,Triju vai vairāku dzīvokļu mājas,1122,6,667.1,3326.6,14147,2907 - Māla ķieģeļi,1913,49,"1000350075003, 1000350075002, 1000350075001",1,0,01000350075001055,1,1,1230,-1,1,341.2,0,18,0
24464,1137359,T,01009267185,"Aleksandra Čaka iela 136, Rīga, LV-1012",NULL,Rīga,NULL,4/28/2023,3000,01000350075,5929,504650,11.02, 07,"601(45), 703(759), 801(134)",3,01000350075001,5929,504650,Triju vai vairāku dzīvokļu mājas,1122,6,667.1,3326.6,14147,2907 - Māla ķieģeļi,1913,49,"1000350075003, 1000350075002, 1000350075001",1,0,01000350075001060,21,50,1274,-1,-1,84.7,0,2,0
24464,1151002,T,01009267220,"Aleksandra Čaka iela 136, Rīga, LV-1012",NULL,Rīga,NULL,7/26/2023,1500,01000350075,13123,3027900,4.07, 07,"601(45), 703(759), 801(134)",3,01000350075001,13123,3027900,Triju vai vairāku dzīvokļu mājas,1122,6,667.1,3326.6,14147,2907 - Māla ķieģeļi,1913,49,"1000350075003, 1000350075002, 1000350075001",1,0,01000350075001059,11,100,1274,-1,-1,113.4,0,3,0
24464,1151212,T,01009267220,"Aleksandra Čaka iela 136, Rīga, LV-1012",NULL,Rīga,NULL,7/26/2023,1000,01000350075,2386,756975,2.96, 07,"601(45), 703(759), 801(134)",3,01000350075001,2386,756975,Triju vai vairāku dzīvokļu mājas,1122,6,667.1,3326.6,14147,2907 - Māla ķieģeļi,1913,49,"1000350075003, 1000350075002, 1000350075001",1,0,01000350075001059,2,25,1274,-1,-1,113.4,0,3,0
24464,1163139,Dz,01009161832,"Aleksandra Čaka iela 151 - 61, Rīga, LV-1012",NULL,Rīga,NULL,10/11/2023,16500,01000350100,65,3663,14.99, 07,703(845),1,01000350100001,65,3663,Triju vai vairāku dzīvokļu mājas,1122,6,399.9,1986.5,8319,2907 - Māla ķieģeļi,1913,35,01000350100001,0,1,01000350100001029,1,1,1122,6,6,26,26,2,1
24464,1166838,Dz,01009121097,"Aleksandra Čaka iela 151 - 67, Rīga, LV-1012",NULL,Rīga,NULL,11/13/2023,25000,01000350100,20,1221,13.84, 07,703(845),1,01000350100001,20,1221,Triju vai vairāku dzīvokļu mājas,1122,6,399.9,1986.6,8319,2907 - Māla ķieģeļi,1913,34,01000350100001,0,1,01000350100001035,1,1,1122,1,1,24,24,2,1
24464,1151525,Dz,01009947763,"Aleksandra Čaka iela 151 - 76, Rīga, LV-1012",NULL,Rīga,NULL,8/4/2023,15000,01000350100,125,7326,14.42, 07,703(845),1,01000350100001,125,7326,Triju vai vairāku dzīvokļu mājas,1122,6,399.9,1986.5,8319,2907 - Māla ķieģeļi,1913,35,01000350100001,0,1,01000350100001044,1,1,1122,3,3,25,25,2,1
24464,1170320,T,01009060314,"Aleksandra Čaka iela 28A - 30, Rīga, LV-1011",NULL,Rīga,NULL,12/6/2023,52000,01000300120,14259,544190,47.14, 07,"703(1634), 801(165)",3,01000300120002,14259,544190,Triju vai vairāku dzīvokļu mājas,1122,6,337.4,1485.9,6678,2908 - Silikātķieģeļi,1903,40,"1000300120003, 1000300120002, 1000300120001",1,0,01000300120002026,3,4,1220,1,1,96,0,4,0
24464,1160537,Dz,01009266628,"Aleksandra Čaka iela 30 - 1A, Rīga, LV-1011",NULL,Rīga,NULL,10/2/2023,87000,01000300122,468,47185,17.83, 07,"703(1679), 801(117), 1001(2)",2,01000300122001,468,47185,Triju vai vairāku dzīvokļu mājas,1122,6,515,2367.2,10380,2907 - Māla ķieģeļi,1913,31,"1000300122002, 1000300122001",0,1,01000300122001023,1,1,1122,2,2,46.8,46.8,4,3
24464,1143097,Dz,01009266621,"Aleksandra Čaka iela 30A - 41, Rīga, LV-1011",NULL,Rīga,NULL,6/5/2023,157500,01000300122,649,47185,24.73, 07,"703(1679), 801(117), 1001(2)",2,01000300122002,649,47185,Triju vai vairāku dzīvokļu mājas,1122,7,619.2,3323.7,14655,2907 - Māla ķieģeļi,1913,31,"1000300122002, 1000300122001",0,1,01000300122002035,1,1,1122,2,2,65,65,5,3
24464,1160264,Dz,01009266617,"Aleksandra Čaka iela 30A - 47, Rīga, LV-1011",NULL,Rīga,NULL,10/3/2023,169000,01000300122,137,9437,26.1, 07,"703(1679), 801(117), 1001(2)",2,01000300122002,137,9437,Triju vai vairāku dzīvokļu mājas,1122,7,619.2,3323.7,14655,2907 - Māla ķieģeļi,1913,31,"1000300122002, 1000300122001",0,1,01000300122002064,1,1,1122,5,5,68.7,68.7,5,3
24464,1123215,Dz,01009266633,"Aleksandra Čaka iela 30A - 8, Rīga, LV-1011",NULL,Rīga,NULL,1/13/2023,189000,01000300122,120,9437,22.86, 07,"703(1679), 801(117), 1001(2)",2,01000300122002,120,9437,Triju vai vairāku dzīvokļu mājas,1122,7,619.2,3323.7,14655,2907 - Māla ķieģeļi,1913,31,"1000300122002, 1000300122001",0,1,01000300122002019,1,1,1122,2,2,60,60,5,3
2211,1172351,Dz,01000300032,"Aleksandra Čaka iela 31 k-1 - 2, Rīga, LV-1011",NULL,Rīga,NULL,12/5/2023,40000,01000300032,36,2575,27.14, 07,"702(1578), 801(363)",4,01000300032001,36,2575,Triju vai vairāku dzīvokļu mājas,1122,4,414.7,1485.3,7966,2907 - Māla ķieģeļi,1900,60,"1000300032004, 1000300032003, 1000300032002, 1000300032001",0,1,01000300032001002,1,1,1122,3,3,65.5,65.5,5,2
24464,1172351,Dz,01000300032,"Aleksandra Čaka iela 31 k-1 - 2, Rīga, LV-1011",NULL,Rīga,NULL,12/5/2023,40000,01000300032,36,2575,27.14, 07,"702(1578), 801(363)",4,01000300032001,36,2575,Triju vai vairāku dzīvokļu mājas,1122,4,414.7,1485.3,7966,2907 - Māla ķieģeļi,1900,60,"1000300032004, 1000300032003, 1000300032002, 1000300032001",0,1,01000300032001002,1,1,1122,3,3,65.5,65.5,5,2
24464,1124747,Dz,01000300032,"Aleksandra Čaka iela 31 k-2 - 12, Rīga, LV-1011",NULL,Rīga,NULL,1/11/2023,77000,01000300032,199,10300,37.5, 07,"702(1578), 801(363)",4,01000300032002,199,10300,Triju vai vairāku dzīvokļu mājas,1122,5,820.8,3474.6,16749,2907 - Māla ķieģeļi,"1900, 2021",48,"1000300032004, 1000300032003, 1000300032002, 1000300032001",0,1,01000300032002012,1,1,1122,3,3,88.6,88.6,9,4
24464,1137882,Dz,01000300032,"Aleksandra Čaka iela 31 k-2 - 16A, Rīga, LV-1011",NULL,Rīga,NULL,4/20/2023,63000,01000300032,87,10300,16.39, 07,"702(1578), 801(363)",4,01000300032002,87,10300,Triju vai vairāku dzīvokļu mājas,1122,5,820.8,3474.6,16749,2907 - Māla ķieģeļi,"1900, 2021",48,"1000300032004, 1000300032003, 1000300032002, 1000300032001",0,1,01000300032002002,1,1,1122,1,1,36.4,36.4,6,1
24464,1153936,Dz,01000300032,"Aleksandra Čaka iela 31 k-2 - 16A, Rīga, LV-1011",NULL,Rīga,NULL,7/12/2023,60000,01000300032,141,20600,13.29, 07,"702(1578), 801(363)",4,01000300032002,141,20600,Triju vai vairāku dzīvokļu mājas,1122,5,820.8,3474.6,16749,2907 - Māla ķieģeļi,"1900, 2021",48,"1000300032004, 1000300032003, 1000300032002, 1000300032001",0,1,01000300032002002,1,1,1122,1,1,36.4,36.4,6,1
24464,1158435,Dz,01000300032,"Aleksandra Čaka iela 31 k-2 - 29A, Rīga, LV-1011",NULL,Rīga,NULL,8/29/2023,64500,01000300032,51,4120,24.03, 07,"702(1578), 801(363)",4,01000300032002,51,4120,Triju vai vairāku dzīvokļu mājas,1122,5,820.8,3474.6,16749,2907 - Māla ķieģeļi,"1900, 2021",48,"1000300032004, 1000300032003, 1000300032002, 1000300032001",0,1,01000300032002006,1,1,1122,2,2,53,53,5,2
24464,1120940,T,01000300031,"Aleksandra Čaka iela 33 - 1, Rīga, LV-1011",NULL,Rīga,NULL,12/29/2022,56500,01000300031,93,13250,12.55, 07,"703(905), 801(823), 902(60)",2,01000300031001,93,13250,Triju vai vairāku dzīvokļu mājas,1122,7,1090.6,6117.7,26117,2907 - Māla ķieģeļi,"1900, 2016",56,"1000300031002, 1000300031001",1,0,01000300031001001,1,1,1220,1,1,49.6,0,5,0
24464,1130345,T,01000300031,"Aleksandra Čaka iela 33 - 1, Rīga, LV-1011",NULL,Rīga,NULL,2/27/2023,50000,01000300031,48,6625,12.95, 07,"703(905), 801(823), 902(60)",2,01000300031001,48,6625,Triju vai vairāku dzīvokļu mājas,1122,7,1090.6,6117.7,26117,2907 - Māla ķieģeļi,"1900, 2016",56,"1000300031002, 1000300031001",1,0,01000300031001001,1,1,1220,1,1,49.6,0,5,0
24464,1121142,Dz,01000300031,"Aleksandra Čaka iela 33, Rīga, LV-1011",NULL,Rīga,NULL,12/15/2022,90272,01000300031,78,6625,21.05, 07,"703(905), 801(823), 902(60)",2,01000300031001,78,6625,Triju vai vairāku dzīvokļu mājas,1122,7,1090.6,6117.7,26117,2907 - Māla ķieģeļi,"1900, 2016",56,"1000300031002, 1000300031001",0,1,01000300031001079,1,1,1122,3,3,49,46.4,5,2
24464,1121565,Dz,01000300031,"Aleksandra Čaka iela 33, Rīga, LV-1011",NULL,Rīga,NULL,12/5/2022,53000,01000300031,43,6625,11.61, 07,"703(905), 801(823), 902(60)",2,01000300031001,43,6625,Triju vai vairāku dzīvokļu mājas,1122,7,1090.6,6117.7,26117,2907 - Māla ķieģeļi,"1900, 2016",56,"1000300031002, 1000300031001",0,1,01000300031001091,1,1,1122,4,4,25.8,25.8,3,1
24464,1130346,Dz,01000300031,"Aleksandra Čaka iela 33, Rīga, LV-1011",NULL,Rīga,NULL,2/9/2023,57732,01000300031,199,26500,13.43, 07,"703(905), 801(823), 902(60)",2,01000300031001,199,26500,Triju vai vairāku dzīvokļu mājas,1122,7,1090.6,6117.7,26117,2907 - Māla ķieģeļi,"1900, 2016",56,"1000300031002, 1000300031001",0,1,01000300031001093,1,1,1122,5,5,29.9,29.9,2,1
24464,1133410,Dz,01000300031,"Aleksandra Čaka iela 33, Rīga, LV-1011",NULL,Rīga,NULL,3/16/2023,59017,01000300031,9,1325,12.14, 07,"703(905), 801(823), 902(60)",2,01000300031001,9,1325,Triju vai vairāku dzīvokļu mājas,1122,7,1090.6,6117.7,26117,2907 - Māla ķieģeļi,"1900, 2016",56,"1000300031002, 1000300031001",0,1,01000300031001077,1,1,1122,3,3,30,30,2,1
24464,1133870,Dz,01000300031,"Aleksandra Čaka iela 33, Rīga, LV-1011",NULL,Rīga,NULL,3/29/2023,80000,01000300031,277,26500,18.69, 07,"703(905), 801(823), 902(60)",2,01000300031001,277,26500,Triju vai vairāku dzīvokļu mājas,1122,7,1090.6,6117.7,26117,2907 - Māla ķieģeļi,"1900, 2016",56,"1000300031002, 1000300031001",0,1,01000300031001094,1,1,1122,5,5,41.7,41.7,3,2
24464,1143855,Dz,01000300031,"Aleksandra Čaka iela 33, Rīga, LV-1011",NULL,Rīga,NULL,3/31/2023,51000,01000300031,8,1325,10.8, 07,"703(905), 801(823), 902(60)",2,01000300031001,8,1325,Triju vai vairāku dzīvokļu mājas,1122,7,1090.6,6117.7,26117,2907 - Māla ķieģeļi,"1900, 2016",56,"1000300031002, 1000300031001",0,1,01000300031001082,1,1,1122,3,3,25,25,3,1
24464,1122069,Dz,01009260820,"Aleksandra Čaka iela 36 - 13, Rīga, LV-1011",NULL,Rīga,NULL,1/9/2023,149000,01000300138,641,19204,34.51, 07,"702(942), 801(92)",3,01000300138001,641,19204,Triju vai vairāku dzīvokļu mājas,1122,5,284.7,1153.6,4440,2907 - Māla ķieģeļi,1900,30,"1000300138003, 1000300138002, 1000300138001",0,1,01000300138001021,1,1,1122,4,4,64.1,64.1,3,2
24464,1141827,Dz,01009260825,"Aleksandra Čaka iela 36A - 19, Rīga, LV-1011",NULL,Rīga,NULL,6/2/2023,105000,01000300138,457,19204,24.61, 07,"702(942), 801(92)",3,01000300138002,457,19204,Triju vai vairāku dzīvokļu mājas,1122,5,142.6,567.5,2456,2908 - Silikātķieģeļi,NULL,45,"1000300138003, 1000300138002, 1000300138001",0,1,01000300138002019,1,1,1122,2,2,45.7,45.7,3,2
24464,1162071,Dz,01009229007,"Aleksandra Čaka iela 41 - 10, Rīga, LV-1011",NULL,Rīga,NULL,10/9/2023,42250,01000300009,23,350,70.45, 07,"601(41), 701(635), 801(354), 1001(42)",2,01000300009002,69,316,Triju vai vairāku dzīvokļu mājas,1122,2,141.6,309.6,1198,"1103 - Koka dēļi, 1105 - Koka karkasa konstrukcijas",1880,42,"1000300009006, 1000300009002",0,1,01000300009002002,1,1,1122,1,1,41.4,41.4,3,2
24464,1137288,Dz,01009276734,"Aleksandra Čaka iela 41B - 1, Rīga, LV-1011",NULL,Rīga,NULL,3/23/2023,5160,01000300009,53,2100,27.06, 07,"601(41), 701(635), 801(354), 1001(42)",2,01000300009005,1,1,Viena dzīvokļa mājas,1110,1,36,33.3,135,11 - Kokmateriāli,1880,75,"1000300009006, 1000300009005",0,1,01000300009005001,1,1,1110,1,1,15.9,15.9,2,1
24464,1122850,T,01009047025,"Aleksandra Čaka iela 44, Rīga, LV-1011",NULL,Rīga,NULL,1/17/2023,20000,01000290062,3282,34909,117.71, 07,"702(1015), 801(145), 1002(92)",2,01000290062001,3282,34909,Triju vai vairāku dzīvokļu mājas,1122,5,771,3507.9,16884,2907 - Māla ķieģeļi,1912,41,"1000290062002, 1000290062001",2,0,01000290062001027,1,2,1230,-1,-1,379.4,0,23,0
24464,1122851,T,01009047025,"Aleksandra Čaka iela 44, Rīga, LV-1011",NULL,Rīga,NULL,1/17/2023,20000,01000290062,3282,34909,117.71, 07,"702(1015), 801(145), 1002(92)",2,01000290062001,3282,34909,Triju vai vairāku dzīvokļu mājas,1122,5,771,3507.9,16884,2907 - Māla ķieģeļi,1912,41,"1000290062002, 1000290062001",2,0,01000290062001027,1,2,1230,-1,-1,379.4,0,23,0
24464,1168784,Dz,01009285760,"Aleksandra Čaka iela 45 - 14, Rīga, LV-1011",NULL,Rīga,NULL,11/30/2023,58000,01000290099,436,13545,28.78, 07,"702(624), 801(270)",2,01000290099002,436,13545,Triju vai vairāku dzīvokļu mājas,1122,3,186.6,471,2311,2908 - Silikātķieģeļi,1898,50,"1000290099002, 1000290099001",0,1,01000290099002014,1,1,1122,1,1,43.9,43.9,4,1
24464,1170131,Dz,01009285761,"Aleksandra Čaka iela 45 - 16, Rīga, LV-1011",NULL,Rīga,NULL,12/7/2023,56000,01000290099,146,4515,28.91, 07,"702(624), 801(270)",2,01000290099002,146,4515,Triju vai vairāku dzīvokļu mājas,1122,3,186.6,471,2311,2908 - Silikātķieģeļi,1898,50,"1000290099002, 1000290099001",0,1,01000290099002016,1,1,1122,2,2,43.8,43.8,6,2
2211,1176219,Dz,01009285772,"Aleksandra Čaka iela 45 - 17, Rīga, LV-1011",NULL,Rīga,NULL,1/25/2024,77700,01000290099,122,2709,40.26, 07,"702(624), 801(270)",2,01000290099002,122,2709,Triju vai vairāku dzīvokļu mājas,1122,3,186.6,471.5,2311,2908 - Silikātķieģeļi,1898,50,"1000290099002, 1000290099001",0,1,01000290099002017,1,1,1122,3,3,61.9,61.9,9,3
